Player,Team,Age,Height,Weight,GP,MIN,STL,BLK,Deflections,ChargesDrawn,Fouls Committed Shoot,Fouls Drawn Off.
Brandon Clarke,MEM,23,80,215,58,1300,32,48,59,2,55,6
Brandon Goodwin,ATL,24,72,180,34,430,12,4,21,0,15,2
Brandon Ingram,NOP,22,79,190,62,2103,61,38,117,4,72,18
Brandon Knight,DET,28,74,182,25,462,10,3,16,1,13,4
Brian Bowen II,IND,21,78,190,6,31,0,1,1,1,1,1
Brook Lopez,MIL,32,84,282,68,1817,46,163,86,0,106,3
Bruce Brown,DET,23,76,202,58,1634,63,29,146,1,85,9
Bruno Caboclo,HOU,24,81,218,30,244,15,17,26,0,20,3
Bruno Fernando,ATL,21,81,240,56,713,18,17,28,0,65,3
Bryn Forbes,SAS,26,74,205,63,1579,33,0,61,0,59,4
Buddy Hield,SAC,27,76,220,72,2216,66,17,135,1,60,4
CJ McCollum,POR,28,75,190,70,2557,54,42,107,1,85,6
CJ Miles,WAS,33,78,220,10,161,10,4,14,2,8,4
Caleb Martin,CHA,24,77,205,18,317,12,7,26,4,15,8
Caleb Swanigan,POR,23,81,260,27,288,3,7,16,2,26,4
Cam Reddish,ATL,20,80,218,58,1551,62,28,139,0,72,16
Cameron Johnson,PHX,24,80,210,57,1255,36,20,44,6,45,15
Cameron Payne,PHX,25,73,183,8,183,8,2,17,3,12,4
Caris LeVert,BKN,25,78,205,45,1330,53,10,105,3,35,12
Carmelo Anthony,POR,36,80,238,58,1902,49,27,86,1,66,7
Carsen Edwards,BOS,22,71,200,37,351,12,4,22,1,18,4
Cedi Osman,CLE,25,79,230,65,1910,54,16,120,8,73,27
Chandler Hutchison,CHI,24,79,210,28,527,27,7,42,9,30,10
Chandler Parsons,ATL,31,81,230,5,54,4,1,6,0,0,0
Charlie Brown Jr.,ATL,23,78,199,10,40,2,2,4,0,2,1
Chasson Randle,GSW,27,74,185,3,40,2,0,3,0,1,0
Cheick Diallo,PHX,23,80,219,47,479,11,12,28,1,33,3
Chimezie Metu,SAS,23,81,225,18,105,3,6,6,0,2,0
Chris Boucher,TOR,27,81,200,62,819,22,61,35,3,72,7
Chris Chiozza,BKN,24,71,175,28,401,21,4,33,0,10,7
Chris Clemons,HOU,22,69,180,33,291,9,6,19,2,14,6
Chris Paul,OKC,35,73,175,70,2208,111,11,234,4,42,10
Chris Silva,MIA,23,80,234,44,346,9,21,26,5,49,7
Christian Wood,DET,24,82,214,62,1325,34,54,64,0,49,13
Clint Capela,ATL,26,82,240,39,1279,33,72,63,8,35,12
Coby White,CHI,20,76,195,65,1674,49,6,86,4,46,16
Cody Martin,CHA,24,77,205,48,903,39,9,61,14,33,31
Cody Zeller,CHA,27,84,240,58,1341,40,25,93,4,62,8
