Player,Team,Age,Height,Weight,GP,MIN,STL,BLK,Deflections
Ron Baker,NYK,24,76,220,52,857,34,8,84
Rondae Hollis-Jefferson,BKN,22,79,214,78,1761,82,44,166
Ronnie Price,PHX,34,74,190,14,134,11,1,19
Roy Hibbert,DEN,30,86,270,48,682,8,46,29
Rudy Gay,SAC,30,80,230,30,1013,44,26,87
Rudy Gobert,UTA,25,85,245,81,2744,49,214,133
Russell Westbrook,OKC,28,75,200,81,2802,132,31,231
Ryan Anderson,HOU,29,82,240,72,2116,31,14,63
Ryan Kelly,ATL,26,83,230,16,110,4,5,4
Salah Mejri,DAL,31,86,245,73,905,32,61,62
Sam Dekker,HOU,23,81,230,77,1419,38,21,79
Sasha Vujacic,NYK,33,79,195,42,408,13,2,29
Sean Kilpatrick,BKN,27,76,219,70,1754,45,6,85
Semaj Christon,OKC,24,75,190,64,973,28,7,64
Serge Ibaka,TOR,27,82,235,79,2422,41,124,71
Sergio Rodriguez,PHI,31,75,176,68,1517,49,4,86
Seth Curry,DAL,26,74,185,70,2029,79,7,164
Shabazz Muhammad,MIN,24,78,223,78,1516,22,6,37
Shabazz Napier,POR,25,73,175,53,512,32,2,59
Shaun Livingston,GSW,31,79,192,76,1345,38,20,73
Shawn Long,PHI,24,81,255,18,234,9,9,20
Shelvin Mack,UTA,27,75,203,55,1205,42,3,91
Skal Labissiere,SAC,21,83,225,33,612,16,13,32
Solomon Hill,NOP,26,79,225,80,2374,72,32,181
Spencer Dinwiddie,BKN,24,78,200,59,1334,44,23,87
Spencer Hawes,MIL,29,85,245,54,797,15,30,25
Stanley Johnson,DET,21,79,245,77,1371,56,24,108
Stephen Curry,GSW,29,75,190,79,2639,142,17,261
Stephen Zimmerman,ORL,20,84,240,19,108,2,5,3
Steve Novak,MIL,34,82,225,8,22,0,0,0
Steven Adams,OKC,23,84,255,80,2389,89,78,152
T.J. Warren,PHX,23,80,225,66,2048,76,39,146
Taj Gibson,OKC,32,81,236,78,1989,41,65,72
Tarik Black,LAL,25,81,250,67,1091,29,44,69
Taurean Prince,ATL,23,80,220,59,981,43,27,84
Terrence Jones,MIL,25,81,255,54,1271,40,54,57
Terrence Ross,ORL,26,79,195,78,1955,87,33,173
Terry Rozier,BOS,23,74,190,74,1263,45,11,85
Thabo Sefolosha,ATL,33,79,220,62,1596,96,31,176
Thaddeus Young,IND,29,80,221,74,2237,113,29,215
Thomas Robinson,LAL,26,82,237,48,560,26,9,49
Thon Maker,MIL,20,85,223,57,562,10,26,28
Tiago Splitter,PHI,32,83,245,8,76,1,1,3
Tim Frazier,NOP,26,73,170,65,1525,56,6,110
Tim Hardaway Jr.,ATL,25,78,205,79,2153,55,15,99
Timofey Mozgov,LAL,30,85,275,54,1104,16,31,33
Timothe Luwawu-Cabarrot,PHI,22,78,205,69,1190,32,10,69
Tobias Harris,DET,24,81,235,82,2566,60,39,128
Tomas Satoransky,WAS,25,79,210,57,719,26,6,57
Toney Douglas,MEM,31,74,195,24,394,18,5,36
Tony Allen,MEM,35,76,213,71,1914,115,29,234
Tony Parker,SAS,35,74,185,63,1587,34,2,58
Tony Snell,MIL,25,79,217,80,2336,55,14,139
Treveon Graham,CHA,23,78,226,27,189,6,1,7
Trevor Ariza,HOU,32,80,215,80,2773,147,20,251
Trevor Booker,BKN,29,80,228,71,1754,75,28,128
Trey Burke,WAS,24,73,191,57,703,11,5,43
Trey Lyles,UTA,21,82,234,71,1158,26,20,50
Tristan Thompson,CLE,26,81,238,78,2336,39,84,73
Troy Daniels,MEM,25,76,205,67,1183,20,4,43
Troy Williams,HOU,22,79,210,30,557,27,10,41
Ty Lawson,SAC,29,71,195,69,1732,74,6,129
Tyler Ennis,LAL,22,75,194,53,588,25,2,40
Tyler Johnson,MIA,25,76,186,73,2177,84,44,152
Tyler Ulis,PHX,21,70,150,61,1123,48,5,93
Tyler Zeller,BOS,27,84,253,51,525,7,21,13
Tyreke Evans,SAC,27,78,220,40,788,35,9,55
Tyson Chandler,PHX,34,85,240,47,1298,33,24,57
Tyus Jones,MIN,21,74,195,60,774,48,5,82
Udonis Haslem,MIA,37,80,235,16,130,6,1,9
Victor Oladipo,OKC,25,76,210,67,2223,78,21,157
Vince Carter,MEM,40,78,220,73,1800,60,36,113
Wade Baldwin IV,MEM,21,76,202,33,405,18,7,27
Wayne Ellington,MIA,29,76,200,62,1500,35,4,68
Wesley Johnson,LAC,29,79,215,68,810,29,30,97
Wesley Matthews,DAL,30,77,220,73,2495,77,15,190
Will Barton,DEN,26,78,175,60,1705,48,28,96
Willie Cauley-Stein,SAC,23,84,240,75,1421,53,44,105
Willie Reed,MIA,27,83,245,71,1031,18,47,34
Willy Hernangomez,NYK,23,83,240,72,1324,41,36,101
Wilson Chandler,DEN,30,80,225,71,2197,51,30,103
Yogi Ferrell,DAL,24,72,180,46,1197,42,9,92
Zach LaVine,MIN,22,77,185,47,1749,41,10,80
Zach Randolph,MEM,35,81,260,73,1786,38,10,105
Zaza Pachulia,GSW,33,83,275,70,1268,59,33,123
